epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,465.245,1.37498,0.84813,0.85132,0.94042,0.68674,0.7756,0.28986,1.83562,0.99711,0.85434,0.001307,0.001307,0.001307
44,476.05,1.29092,0.8302,0.84322,1,0.85459,0.92262,0.42288,1.77969,0.85259,0.85963,0.0012905,0.0012905,0.0012905
45,487.17,1.29769,0.82821,0.83103,0.99068,0.73913,0.89141,0.40933,1.63147,0.94028,0.84904,0.001274,0.001274,0.001274
46,495.481,1.35082,0.84093,0.81296,1,0.82221,0.94,0.44103,1.60629,0.77738,0.83317,0.0012575,0.0012575,0.0012575
47,507.169,1.3871,0.85795,0.81254,1,0.89502,0.95174,0.5476,1.3901,0.74594,0.82977,0.001241,0.001241,0.001241
48,516.452,1.421,0.8593,0.85004,0.91136,0.89453,0.94675,0.49534,1.4646,0.79759,0.83302,0.0012245,0.0012245,0.0012245
49,528.186,1.30516,0.79551,0.83099,0.95294,0.88087,0.95038,0.55394,1.30526,0.64898,0.81898,0.001208,0.001208,0.001208
50,537.71,1.33351,0.7907,0.81341,0.95568,0.93807,0.9562,0.59123,1.25875,0.66844,0.82253,0.0011915,0.0011915,0.0011915
51,548.282,1.26323,0.78267,0.82938,1,0.90182,0.95475,0.61388,1.15452,0.63494,0.80672,0.001175,0.001175,0.001175
52,559.153,1.34006,0.78829,0.8245,0.93876,0.86957,0.94042,0.51439,1.30778,0.80019,0.81172,0.0011585,0.0011585,0.0011585
53,571.039,1.15919,0.71661,0.80913,0.94656,0.91304,0.95107,0.56207,1.27231,0.70156,0.80473,0.001142,0.001142,0.001142
54,581.212,1.22767,0.71942,0.8142,0.99589,0.86957,0.94081,0.52558,1.45018,0.68917,0.82491,0.0011255,0.0011255,0.0011255
55,592.229,1.2039,0.71245,0.80289,0.9955,0.86957,0.95092,0.5946,1.24282,0.60169,0.81503,0.001109,0.001109,0.001109
56,603.686,1.27959,0.75752,0.83194,0.95397,0.90144,0.95821,0.53115,1.31341,0.67589,0.81737,0.0010925,0.0010925,0.0010925
57,613.362,1.26438,0.73105,0.83462,0.99309,0.95652,0.96117,0.5804,1.30767,0.66307,0.82184,0.001076,0.001076,0.001076
58,624.329,1.25103,0.76784,0.8065,0.99085,0.95652,0.95969,0.55203,1.35254,0.61777,0.822,0.0010595,0.0010595,0.0010595
59,634.969,1.16764,0.69103,0.80271,0.98816,0.86957,0.95352,0.50762,1.4097,0.7624,0.82104,0.001043,0.001043,0.001043
60,645.674,1.25173,0.70998,0.83118,1,0.82255,0.93753,0.45459,1.48621,0.75592,0.83577,0.0010265,0.0010265,0.0010265
61,656.19,1.20256,0.69659,0.82054,0.94564,0.91304,0.95556,0.4936,1.57165,0.71315,0.84327,0.00101,0.00101,0.00101
62,666.815,1.15223,0.69692,0.81955,0.94215,0.95652,0.95837,0.53,1.42121,0.64343,0.82425,0.0009935,0.0009935,0.0009935
63,677.112,1.21384,0.71867,0.80634,0.83238,0.95652,0.93368,0.54507,1.30431,0.71464,0.80813,0.000977,0.000977,0.000977
64,687.355,1.23105,0.71061,0.81347,0.81062,0.86957,0.92416,0.50609,1.41495,0.76777,0.82413,0.0009605,0.0009605,0.0009605
65,698.08,1.21999,0.70433,0.84035,0.98868,0.78261,0.89815,0.51696,1.18123,0.81727,0.80529,0.000944,0.000944,0.000944
66,708.756,1.20782,0.67592,0.80801,0.94496,0.86957,0.92859,0.51461,1.37806,0.7482,0.81669,0.0009275,0.0009275,0.0009275
67,719.766,1.1633,0.65386,0.79873,1,0.90557,0.94601,0.57464,1.17719,0.66993,0.79926,0.000911,0.000911,0.000911
68,729.769,1.07458,0.63532,0.81171,0.99247,0.91304,0.95143,0.4654,1.33865,0.6707,0.81447,0.0008945,0.0008945,0.0008945
69,740.104,1.23786,0.71443,0.82164,1,0.9051,0.95562,0.54464,1.26583,0.64996,0.81218,0.000878,0.000878,0.000878
70,751.421,1.17247,0.66167,0.8075,0.99847,0.86957,0.94586,0.56461,1.20437,0.6331,0.80035,0.0008615,0.0008615,0.0008615
71,761.577,1.14159,0.69793,0.80565,0.91159,0.91304,0.93937,0.59745,1.20446,0.66753,0.79985,0.000845,0.000845,0.000845
72,772.621,1.12067,0.6588,0.80309,0.99135,0.91304,0.95038,0.58192,1.31779,0.68794,0.80798,0.0008285,0.0008285,0.0008285
73,783.774,1.1079,0.62046,0.80384,0.98829,0.91304,0.95303,0.61822,1.19748,0.58973,0.80671,0.000812,0.000812,0.000812
74,794.917,1.09806,0.59716,0.7822,0.99189,0.86957,0.94313,0.60587,1.15227,0.64122,0.80301,0.0007955,0.0007955,0.0007955
