epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,67.8733,0.84312,1.93539,1.32158,0.77869,0.39221,0.42033,0.28175,1.82303,2.44816,1.64683,2.82082e-05,2.82082e-05,2.82082e-05
40,69.5286,0.97589,1.26062,1.44206,0.77869,0.39221,0.42033,0.28175,1.82303,2.44816,1.64683,2.84911e-05,2.84911e-05,2.84911e-05
41,71.2066,0.7277,1.24015,1.11022,0.94787,0.38967,0.4202,0.29012,1.83836,2.47232,1.64667,2.87504e-05,2.87504e-05,2.87504e-05
42,72.8225,0.93391,1.28132,1.35013,0.94787,0.38967,0.4202,0.29012,1.83836,2.47232,1.64667,2.89861e-05,2.89861e-05,2.89861e-05
43,74.4583,0.54322,2.46721,1.13062,0.94773,0.3914,0.41647,0.28947,1.77308,2.42926,1.57795,2.91983e-05,2.91983e-05,2.91983e-05
44,76.353,0.8522,1.1453,1.25586,0.94773,0.3914,0.41647,0.28947,1.77308,2.42926,1.57795,2.93869e-05,2.93869e-05,2.93869e-05
45,78.2403,0.60534,1.15401,1.10845,0.94988,0.39043,0.4164,0.28995,1.74715,2.41286,1.53662,2.9552e-05,2.9552e-05,2.9552e-05
46,79.8574,0.80748,1.14542,1.28221,0.94988,0.39043,0.4164,0.28995,1.74715,2.41286,1.53662,2.96935e-05,2.96935e-05,2.96935e-05
47,82.0771,0.73282,0.9081,1.13473,0.95337,0.38852,0.4223,0.3237,1.77648,2.50445,1.59555,2.98114e-05,2.98114e-05,2.98114e-05
48,84.3387,0.66015,0.95255,1.09664,0.95337,0.38852,0.4223,0.3237,1.77648,2.50445,1.59555,2.99058e-05,2.99058e-05,2.99058e-05
49,86.4349,0.89156,0.90289,1.20581,0.94883,0.38168,0.41771,0.32218,1.77862,2.48141,1.59285,2.99766e-05,2.99766e-05,2.99766e-05
50,88.18,0.82905,0.85376,1.18776,0.94883,0.38168,0.41771,0.32218,1.77862,2.48141,1.59285,3.00238e-05,3.00238e-05,3.00238e-05
51,89.8378,0.75417,0.86404,1.17363,0.95286,0.38845,0.42527,0.32682,1.72261,2.32356,1.47825,3.00475e-05,3.00475e-05,3.00475e-05
52,91.4769,0.76922,1.10823,1.14477,0.95286,0.38845,0.42527,0.32682,1.72261,2.32356,1.47825,3.00476e-05,3.00476e-05,3.00476e-05
53,93.148,0.62878,0.88314,1.13617,0.95286,0.38845,0.42527,0.32682,1.72261,2.32356,1.47825,3.00242e-05,3.00242e-05,3.00242e-05
54,94.9456,0.80993,1.38321,1.23226,0.95042,0.38812,0.42423,0.31001,1.71668,2.29035,1.46302,2.99772e-05,2.99772e-05,2.99772e-05
55,96.611,0.80029,0.79607,1.1189,0.95042,0.38812,0.42423,0.31001,1.71668,2.29035,1.46302,2.99066e-05,2.99066e-05,2.99066e-05
56,98.2998,0.74767,1.16848,1.1172,0.95042,0.38812,0.42423,0.31001,1.71668,2.29035,1.46302,2.98125e-05,2.98125e-05,2.98125e-05
57,99.9804,0.62177,0.78675,1.06696,0.95024,0.38778,0.42445,0.31033,1.73311,2.37783,1.49418,2.96948e-05,2.96948e-05,2.96948e-05
58,101.66,0.70887,0.74049,1.16534,0.95024,0.38778,0.42445,0.31033,1.73311,2.37783,1.49418,2.95535e-05,2.95535e-05,2.95535e-05
59,103.319,0.82518,0.92256,1.21676,0.95024,0.38778,0.42445,0.31033,1.73311,2.37783,1.49418,2.93887e-05,2.93887e-05,2.93887e-05
60,104.976,0.93741,1.37651,1.34815,0.96451,0.38094,0.42156,0.30853,1.7632,2.46162,1.54244,2.92003e-05,2.92003e-05,2.92003e-05
61,106.631,0.58388,0.81225,1.05619,0.96451,0.38094,0.42156,0.30853,1.7632,2.46162,1.54244,2.89884e-05,2.89884e-05,2.89884e-05
62,108.296,0.57418,0.6653,1.06207,0.96451,0.38094,0.42156,0.30853,1.7632,2.46162,1.54244,2.87529e-05,2.87529e-05,2.87529e-05
63,109.956,1.13982,1.34238,1.5671,0.9694,0.38333,0.42342,0.30107,1.74224,2.42853,1.51296,2.84938e-05,2.84938e-05,2.84938e-05
64,111.664,0.68475,0.92396,1.09324,0.9694,0.38333,0.42342,0.30107,1.74224,2.42853,1.51296,2.82112e-05,2.82112e-05,2.82112e-05
65,113.322,0.79789,0.87486,1.1293,0.9694,0.38333,0.42342,0.30107,1.74224,2.42853,1.51296,2.7905e-05,2.7905e-05,2.7905e-05
66,114.996,0.60167,0.66881,1.13755,0.96676,0.38333,0.42664,0.30129,1.74436,2.41052,1.49596,2.75753e-05,2.75753e-05,2.75753e-05
67,116.657,0.64401,0.62493,1.02705,0.96676,0.38333,0.42664,0.30129,1.74436,2.41052,1.49596,2.7222e-05,2.7222e-05,2.7222e-05
68,118.348,0.81628,1.03499,1.22901,0.96676,0.38333,0.42664,0.30129,1.74436,2.41052,1.49596,2.68451e-05,2.68451e-05,2.68451e-05
69,120.034,0.65176,0.80559,1.09088,0.95164,0.38333,0.42608,0.30054,1.74445,2.45039,1.48086,2.64447e-05,2.64447e-05,2.64447e-05
70,121.668,1.08809,1.61145,1.36475,0.95164,0.38333,0.42608,0.30054,1.74445,2.45039,1.48086,2.60207e-05,2.60207e-05,2.60207e-05
71,123.336,0.55025,0.59935,0.99684,0.95164,0.38333,0.42608,0.30054,1.74445,2.45039,1.48086,2.55731e-05,2.55731e-05,2.55731e-05
72,124.997,0.64088,0.57944,0.97628,0.94118,0.39957,0.42907,0.30126,1.72648,2.44107,1.46487,2.5102e-05,2.5102e-05,2.5102e-05
73,126.859,0.63933,0.91493,1.10171,0.94118,0.39957,0.42907,0.30126,1.72648,2.44107,1.46487,2.46073e-05,2.46073e-05,2.46073e-05
74,128.484,0.70676,0.83793,1.14618,0.94118,0.39957,0.42907,0.30126,1.72648,2.44107,1.46487,2.40891e-05,2.40891e-05,2.40891e-05
75,130.274,0.80584,0.77496,1.29426,0.88186,0.4,0.43099,0.30119,1.75395,2.44278,1.47705,2.35472e-05,2.35472e-05,2.35472e-05
76,131.902,0.61903,0.68033,1.07426,0.88186,0.4,0.43099,0.30119,1.75395,2.44278,1.47705,2.29819e-05,2.29819e-05,2.29819e-05
77,133.572,0.79005,0.79664,1.19942,0.88186,0.4,0.43099,0.30119,1.75395,2.44278,1.47705,2.23929e-05,2.23929e-05,2.23929e-05
78,135.173,0.83785,1.11858,1.22248,0.86719,0.4,0.43122,0.30201,1.76349,2.41549,1.46673,2.17805e-05,2.17805e-05,2.17805e-05
79,136.791,0.59391,0.59893,1.02509,0.86719,0.4,0.43122,0.30201,1.76349,2.41549,1.46673,2.11444e-05,2.11444e-05,2.11444e-05
80,138.496,0.62465,0.58053,0.99406,0.86719,0.4,0.43122,0.30201,1.76349,2.41549,1.46673,2.04848e-05,2.04848e-05,2.04848e-05
81,140.583,0.64275,0.78738,1.19197,0.85545,0.4,0.43021,0.30204,1.76573,2.44163,1.46932,1.98016e-05,1.98016e-05,1.98016e-05
82,142.541,0.55158,0.49445,1.04193,0.85545,0.4,0.43021,0.30204,1.76573,2.44163,1.46932,1.90949e-05,1.90949e-05,1.90949e-05
83,144.156,0.74683,0.90899,1.17662,0.85545,0.4,0.43021,0.30204,1.76573,2.44163,1.46932,1.83646e-05,1.83646e-05,1.83646e-05
84,145.828,0.4599,0.53808,0.98655,0.84173,0.4,0.43207,0.30132,1.78523,2.44557,1.46991,1.76107e-05,1.76107e-05,1.76107e-05
85,147.432,0.60571,0.77704,1.06367,0.84173,0.4,0.43207,0.30132,1.78523,2.44557,1.46991,1.68333e-05,1.68333e-05,1.68333e-05
86,149.048,0.79855,0.81592,1.34605,0.84173,0.4,0.43207,0.30132,1.78523,2.44557,1.46991,1.60323e-05,1.60323e-05,1.60323e-05
87,150.651,0.7864,0.9631,1.21687,0.84173,0.4,0.43207,0.30132,1.78523,2.44557,1.46991,1.52077e-05,1.52077e-05,1.52077e-05
88,152.289,0.60393,0.68915,1.06718,0.79671,0.4,0.43169,0.29777,1.8044,2.45213,1.47012,1.43596e-05,1.43596e-05,1.43596e-05
89,153.957,0.78571,0.78813,1.19007,0.79671,0.4,0.43169,0.29777,1.8044,2.45213,1.47012,1.34879e-05,1.34879e-05,1.34879e-05
90,155.586,0.5788,0.82159,0.99872,0.79671,0.4,0.43169,0.29777,1.8044,2.45213,1.47012,1.25927e-05,1.25927e-05,1.25927e-05
91,157.231,0.50027,0.52262,1.04839,0.79671,0.4,0.43169,0.29777,1.8044,2.45213,1.47012,1.16739e-05,1.16739e-05,1.16739e-05
92,158.965,0.43004,0.52852,0.90358,0.81026,0.4,0.43366,0.29974,1.80211,2.47144,1.46636,1.07315e-05,1.07315e-05,1.07315e-05
93,160.619,0.6349,0.7019,1.22838,0.81026,0.4,0.43366,0.29974,1.80211,2.47144,1.46636,9.76562e-06,9.76562e-06,9.76562e-06
94,162.238,0.58673,0.56082,1.05336,0.81026,0.4,0.43366,0.29974,1.80211,2.47144,1.46636,8.77613e-06,8.77613e-06,8.77613e-06
95,163.87,0.75006,0.66226,1.30312,0.81026,0.4,0.43366,0.29974,1.80211,2.47144,1.46636,7.76308e-06,7.76308e-06,7.76308e-06
96,165.565,0.54309,0.54225,1.04597,0.81352,0.4,0.43098,0.29702,1.81008,2.56374,1.49952,6.72648e-06,6.72648e-06,6.72648e-06
97,167.2,0.42615,0.44536,0.94961,0.81352,0.4,0.43098,0.29702,1.81008,2.56374,1.49952,5.6663e-06,5.6663e-06,5.6663e-06
98,168.853,0.61482,0.55646,1.09901,0.81352,0.4,0.43098,0.29702,1.81008,2.56374,1.49952,4.58257e-06,4.58257e-06,4.58257e-06
99,170.48,0.49602,0.5342,0.92478,0.81352,0.4,0.43098,0.29702,1.81008,2.56374,1.49952,3.47528e-06,3.47528e-06,3.47528e-06
100,172.174,0.41281,0.50906,0.93412,0.83616,0.4,0.42426,0.29795,1.77731,2.49536,1.45478,2.34442e-06,2.34442e-06,2.34442e-06
